LIMIT_BAL,discrete(3)	SEX,discrete(3)	EDUCATION,discrete(3)	MARRIAGE,discrete(3)	AGE,discrete(3)	PAY_0,discrete(3)	PAY_2,discrete(3)	PAY_3,discrete(3)	PAY_4,discrete(3)	PAY_5,discrete(3)	PAY_6,discrete(3)	BILL_AMT1,discrete(3)	BILL_AMT2,discrete(3)	BILL_AMT3,discrete(3)	BILL_AMT4,discrete(3)	BILL_AMT5,discrete(3)	BILL_AMT6,discrete(3)	PAY_AMT1,discrete(3)	PAY_AMT2,discrete(3)	PAY_AMT3,discrete(3)	PAY_AMT4,discrete(3)	PAY_AMT5,discrete(3)	PAY_AMT6,discrete(3)	Default,discrete(3)
sample-23747	1	1	1	0	2	2	2	2	1	1	1	2	2	2	2	1	2	0	2	1	1	1	1	2
sample-23748	0	1	2	1	2	0	0	1	1	2	2	2	2	2	1	1	1	1	1	2	1	0	1	0
sample-23749	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23750	1	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23751	0	1	2	0	2	2	2	2	2	1	1	1	1	1	1	1	1	0	2	0	1	1	0	2
sample-23752	2	1	0	0	2	2	0	1	0	1	1	0	1	1	1	1	1	2	2	2	2	2	2	2
sample-23753	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23754	2	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sample-23755	0	1	1	0	2	0	0	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0
sample-23756	2	1	0	0	2	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2	2	0
sample-23757	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2
sample-23758	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23759	1	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2
sample-23760	2	1	2	0	2	2	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	1	0
sample-23761	1	1	1	1	2	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0
sample-23762	2	1	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	2	2	2	0	1	0	0
sample-23763	0	1	0	1	2	0	0	1	1	1	0	1	1	1	1	0	1	2	1	0	0	2	0	0
sample-23764	0	1	0	1	2	0	0	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	0
sample-23765	1	1	0	1	2	0	0	1	1	1	1	2	2	1	1	1	1	2	2	2	2	2	1	0
sample-23766	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23767	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23768	0	1	1	0	2	0	0	1	2	1	1	1	1	1	1	1	1	0	2	0	0	1	0	0
sample-23769	1	1	0	0	2	0	0	1	1	1	1	2	2	2	2	2	2	1	2	2	1	1	1	0
sample-23770	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	0
sample-23771	0	1	2	1	2	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
sample-23772	0	1	2	0	2	0	0	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	0	0
sample-23773	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0
sample-23774	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
sample-23775	0	1	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	0	0
sample-23776	0	1	0	0	2	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0
sample-23777	0	1	2	0	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	1	1	1	2
sample-23778	0	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-23779	1	1	2	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	2	2	1	1	2	0
sample-23780	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0
sample-23781	0	1	2	0	2	2	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	2
sample-23782	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23783	0	1	1	2	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
sample-23784	2	1	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	2	2	2	2	1	2	0
sample-23785	1	1	2	0	2	2	0	0	2	1	1	0	0	1	1	1	1	0	2	0	0	0	2	0
sample-23786	0	1	2	0	2	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	2
sample-23787	0	1	1	0	2	2	2	0	0	0	2	1	1	1	0	1	0	0	2	2	1	0	2	0
sample-23788	0	1	2	0	2	2	2	1	1	1	1	2	2	1	1	1	1	0	2	1	1	1	1	0
sample-23789	0	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23790	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23791	0	1	1	0	2	2	2	2	1	1	1	2	2	2	2	2	2	2	0	2	1	1	1	2
sample-23792	0	1	1	0	2	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0
sample-23793	0	1	1	0	2	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0
sample-23794	2	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	2	0
sample-23795	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23796	2	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23797	2	1	2	1	2	0	0	1	1	2	1	0	0	0	1	1	1	1	1	1	0	2	1	0
sample-23798	2	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
sample-23799	2	1	1	0	2	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2	0	2	0
sample-23800	2	1	0	0	2	0	0	1	0	0	0	2	2	0	0	0	1	1	0	0	0	2	0	0
sample-23801	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0
sample-23802	0	1	2	0	2	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2
sample-23803	1	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0
sample-23804	0	1	2	0	2	0	0	1	0	0	0	2	2	2	0	0	2	2	2	2	1	2	2	0
sample-23805	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	1	1	2	1	1	1	0
sample-23806	2	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	2	2	1	0	1	0
sample-23807	2	1	0	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23808	0	1	1	2	2	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	1	2	0
sample-23809	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23810	2	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	1	1	0
sample-23811	0	1	0	1	2	2	2	1	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2
sample-23812	1	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23813	0	1	1	1	2	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-23814	1	1	2	1	2	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-23815	2	1	2	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	0	0
sample-23816	0	1	2	0	2	0	0	1	1	1	0	1	1	2	1	1	1	1	1	0	2	0	0	0
sample-23817	2	1	1	1	2	0	0	0	1	1	1	0	0	0	0	0	0	1	2	0	0	0	1	2
sample-23818	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-23819	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	2	0
sample-23820	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0
sample-23821	0	1	2	0	2	2	0	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2
sample-23822	1	1	0	0	2	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-23823	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
sample-23824	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0
sample-23825	0	1	1	1	2	0	0	2	2	2	2	1	1	1	1	1	1	1	0	2	0	2	0	0
sample-23826	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23827	2	1	1	0	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	0	2	2	2	2
sample-23828	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	2	2	2	0
sample-23829	2	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23830	2	1	1	0	2	0	0	0	1	0	0	0	1	1	0	0	0	2	2	2	1	2	2	0
sample-23831	2	1	0	0	2	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	0
sample-23832	1	1	2	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	0
sample-23833	0	1	2	0	2	2	2	2	2	2	1	0	0	0	0	0	0	0	0	1	0	1	2	0
sample-23834	2	1	2	0	2	0	0	1	2	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0
sample-23835	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
sample-23836	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
sample-23837	2	1	1	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23838	0	1	2	2	2	0	0	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	0	2
sample-23839	2	1	1	0	2	0	0	0	0	1	0	0	1	1	1	0	1	2	2	2	0	2	1	0
sample-23840	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23841	2	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23842	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	2
sample-23843	1	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23844	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23845	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0
sample-23846	2	1	0	0	2	0	0	1	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	0
sample-23847	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
sample-23848	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	2	2	2	0
sample-23849	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23850	2	1	1	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
sample-23851	2	1	2	0	2	0	2	0	2	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0
sample-23852	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2
sample-23853	2	1	0	0	2	0	0	0	0	0	0	0	0	1	2	1	1	1	2	2	2	2	2	0
sample-23854	0	0	1	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
sample-23855	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23856	1	0	0	1	1	2	0	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2
sample-23857	0	0	1	1	2	2	2	2	1	1	0	1	1	1	1	1	1	1	0	1	2	2	2	0
sample-23858	0	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-23859	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0
sample-23860	2	0	0	1	0	2	0	0	0	0	0	0	2	2	1	1	2	2	2	2	2	2	2	0
sample-23861	2	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	2	2	0	0
sample-23862	2	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	1	1	0	1	0	2	1	0
sample-23863	0	0	1	1	0	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	0	1	0	2
sample-23864	0	0	0	1	0	2	2	2	2	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
sample-23865	1	0	1	1	0	2	2	1	1	2	1	2	2	2	2	2	2	0	1	2	0	1	1	2
sample-23866	1	0	1	0	0	0	0	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23867	2	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	2	2	1	1	1	2	0
sample-23868	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
sample-23869	1	0	1	1	0	2	2	1	1	1	1	2	2	2	1	1	1	0	2	1	1	1	2	0
sample-23870	2	0	1	1	0	0	0	0	0	1	0	0	0	0	1	2	0	1	1	2	2	1	0	0
sample-23871	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23872	2	0	1	1	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	0
sample-23873	0	0	0	1	0	0	0	1	1	1	0	2	2	2	2	1	0	2	1	1	0	1	0	0
sample-23874	1	0	1	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-23875	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0
sample-23876	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
sample-23877	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23878	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0
sample-23879	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
sample-23880	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23881	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	2	2	0
sample-23882	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-23883	0	0	1	1	0	0	0	2	1	1	1	1	2	1	2	2	2	2	0	1	1	1	2	0
sample-23884	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-23885	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-23886	2	0	2	1	1	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	0
sample-23887	0	0	1	0	0	0	0	1	1	2	1	2	2	2	2	1	1	1	1	2	0	0	0	0
sample-23888	0	0	0	1	0	0	0	1	0	0	0	2	2	0	0	0	0	1	0	2	0	0	2	0
sample-23889	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23890	0	0	1	0	0	0	0	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	0
sample-23891	0	0	2	1	0	2	2	0	0	1	1	1	1	0	1	1	1	0	0	2	1	1	1	0
sample-23892	1	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-23893	2	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23894	2	0	2	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23895	1	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2
sample-23896	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	0	0
sample-23897	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
sample-23898	0	0	1	0	0	2	2	2	2	2	2	1	1	1	1	1	1	0	0	0	1	0	0	2
sample-23899	0	0	1	1	0	2	0	1	2	2	0	1	1	1	1	0	0	2	1	0	0	0	0	2
sample-23900	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23901	1	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	2	0
sample-23902	0	0	1	1	0	0	0	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0
sample-23903	0	0	2	1	0	0	0	1	1	1	2	1	1	1	1	1	1	0	1	1	1	0	1	0
sample-23904	0	0	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	0	1	0	1	1	0	2
sample-23905	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0
sample-23906	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0
sample-23907	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2
sample-23908	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-23909	0	0	1	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23910	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2
sample-23911	0	0	0	1	0	0	0	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	0
sample-23912	0	0	1	1	0	0	0	1	1	1	2	2	2	2	2	1	1	1	1	1	1	0	1	0
sample-23913	0	0	0	1	0	0	0	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
sample-23914	0	0	2	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
sample-23915	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	2	1	0	0	2	1	0
sample-23916	0	0	0	1	0	0	0	1	1	1	1	2	1	2	2	2	2	2	2	2	1	1	1	0
sample-23917	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	0	0
sample-23918	0	0	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	0	0	0	1	1	1	2
sample-23919	0	0	1	1	0	2	2	2	2	2	1	1	1	1	1	1	1	0	1	0	0	1	1	0
sample-23920	0	0	2	0	0	0	0	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2
sample-23921	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23922	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	2	0	0	0	0	0
sample-23923	0	0	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	0	2	1	0	0	1	0
sample-23924	2	0	1	0	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23925	0	0	1	1	0	0	0	1	2	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
sample-23926	1	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0
sample-23927	0	0	2	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
sample-23928	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0
sample-23929	0	0	2	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0
sample-23930	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23931	0	0	1	1	0	0	0	2	2	2	2	1	1	0	0	1	1	1	0	0	1	0	1	0
sample-23932	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	2	0	1	0	0
sample-23933	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	2	0
sample-23934	0	0	1	1	0	2	2	2	2	2	2	1	1	1	1	1	1	0	0	1	0	0	1	2
sample-23935	0	0	1	1	0	0	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	0
sample-23936	0	0	2	1	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-23937	1	0	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
sample-23938	0	0	1	1	0	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	2
sample-23939	0	0	1	1	0	2	2	1	1	1	1	1	1	1	2	1	1	0	1	1	0	0	1	2
sample-23940	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
sample-23941	1	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	2	1	1	2	0	2	0	0
sample-23942	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	2	2	2	0	0
sample-23943	0	0	1	1	0	0	0	2	2	2	2	1	1	1	1	1	1	1	1	0	1	0	1	0
sample-23944	0	0	2	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	2	0	1	0	0
sample-23945	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	2	1	1	0	1	0
sample-23946	1	0	2	1	0	0	0	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	0
sample-23947	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-23948	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	2	1	0
sample-23949	0	0	2	1	0	2	2	2	1	1	2	1	1	1	1	1	1	0	0	1	1	0	0	2
sample-23950	0	0	1	0	0	2	2	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0
sample-23951	0	0	1	1	0	0	0	1	0	1	1	2	2	0	2	1	1	1	0	2	1	1	1	0
sample-23952	0	0	1	1	0	2	2	1	1	0	1	1	1	1	1	1	1	0	1	1	2	1	1	2
sample-23953	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	2	1	2
sample-23954	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
sample-23955	0	0	1	1	0	0	0	1	1	2	1	2	2	2	1	1	1	1	2	2	0	1	1	0
sample-23956	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	1	0
sample-23957	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23958	0	0	1	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
sample-23959	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23960	0	0	1	1	0	2	2	0	0	1	1	1	0	0	1	1	1	0	0	2	1	1	1	0
sample-23961	0	0	1	1	0	0	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2
sample-23962	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	0	0
sample-23963	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	2
sample-23964	0	0	1	0	0	2	2	2	2	2	2	1	1	1	1	1	1	0	0	0	1	1	1	0
sample-23965	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0
sample-23966	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2
sample-23967	2	0	0	1	0	0	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	0
sample-23968	1	0	1	1	0	2	2	2	2	2	1	2	2	2	2	1	1	1	1	0	0	0	1	2
sample-23969	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	0	0	0	0
sample-23970	0	0	0	1	0	0	0	2	1	1	2	1	1	2	2	2	2	2	0	1	2	1	0	0
sample-23971	0	0	1	1	0	0	0	1	1	1	1	1	2	2	2	2	2	1	1	1	1	0	0	0
sample-23972	0	0	1	1	0	2	0	1	1	1	1	0	1	1	1	1	1	2	0	1	0	0	0	0
sample-23973	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
sample-23974	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-23975	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
sample-23976	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	1	0
sample-23977	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2	1	2	0	1	0
sample-23978	0	0	1	1	0	0	0	2	2	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0
sample-23979	0	0	1	1	0	2	0	1	2	1	1	1	1	1	1	1	0	1	2	0	0	0	0	2
sample-23980	0	0	1	1	0	0	0	1	0	1	1	2	2	2	2	1	1	2	2	2	1	1	1	0
sample-23981	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
sample-23982	1	0	1	1	0	0	0	1	1	1	2	2	2	2	2	2	2	1	1	1	2	1	0	0
sample-23983	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
sample-23984	1	0	1	1	0	0	0	1	1	0	0	2	2	2	2	1	1	2	2	2	2	2	2	0
sample-23985	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	2
sample-23986	0	0	1	1	0	0	0	2	2	2	2	1	2	2	2	2	2	2	0	0	1	0	1	0
sample-23987	2	0	1	1	0	0	0	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	0
sample-23988	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23989	2	0	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	1	2	1	2	0
sample-23990	0	0	1	1	0	0	0	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0
sample-23991	0	0	2	1	0	0	0	1	1	2	2	1	1	2	2	2	2	1	1	2	1	0	2	0
sample-23992	0	0	1	1	0	0	0	1	1	1	1	1	2	2	2	1	1	1	1	1	1	0	0	0
sample-23993	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-23994	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0
sample-23995	0	0	1	0	0	2	2	2	1	1	1	2	2	2	2	2	2	1	0	2	1	1	1	0
sample-23996	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
sample-23997	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0
sample-23998	0	0	2	1	0	0	0	1	1	1	0	1	1	1	2	0	0	1	1	1	1	0	0	0
